SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,AgeGrp,AgeGrpStart,AgeGrpSpan,ASFR,PASFR,Births
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,20-24,20,5,99.237,24.584,454.329
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,25-29,25,5,194.361,48.15,833.145
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,30-34,30,5,83.336,20.645,337.397
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,35-39,35,5,19.414,4.81,70.598
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,40-44,40,5,3.567,0.884,10.827
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,45-49,45,5,0.205,0.051,0.541
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1963,1963.5,50-54,50,5,0.095,0.023,0.229
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,15-19,15,5,2.836,0.686,14.566
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,20-24,20,5,106.399,25.744,500.853
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,25-29,25,5,196.758,47.607,836.935
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,30-34,30,5,84.445,20.432,347.469
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,35-39,35,5,19.282,4.665,71.687
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,40-44,40,5,3.28,0.794,10.399
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,45-49,45,5,0.199,0.048,0.527
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1964,1964.5,50-54,50,5,0.101,0.024,0.25
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,15-19,15,5,2.912,0.677,15.715
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,20-24,20,5,114.875,26.724,541.57
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,25-29,25,5,201.451,46.865,857.168
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,30-34,30,5,87.396,20.332,365.002
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,35-39,35,5,19.764,4.598,74.868
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,40-44,40,5,3.139,0.73,10.311
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,45-49,45,5,0.208,0.048,0.562
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1965,1965.5,50-54,50,5,0.106,0.025,0.266
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,14-Oct,10,5,0.0,0.0,0.0
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,15-19,15,5,3.411,1.034,19.001
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,20-24,20,5,90.441,27.421,416.254
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,25-29,25,5,151.588,45.96,655.353
104,392,,JPN,JP,392,4,Country/Area,906,Japan,2,Medium,1966,1966.5,30-34,30,5,65.374,19.821,277.017
